,text_label
@Benny_Balboa tell that boy he a hoe i just called him,bullying
@Benny_Balboa yall fucking trash boyy!!! #gladbagflow,bullying
@BetoDavidThomas @JesseCanon bitch my mom didn't call you,bullying
@BetoDavidThomas @JesseCanon lmfaooo oh well fuck that bitch,bullying
@BettinaVLA @9975Ts @SenWarren She's just another straight-up conscienceless liar. Soulless criminal trash.,nonbullying
@BeyondTomcat you'd like that wouldn't you fag,bullying
@Beyond_Fatal my bitch bruhhh !!!,bullying
@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz,bullying
@BigCatCooke deserved victory! #Elite8 awaits your #Orange army. #Sweet16 was no disgrace #collegehoops ill be back next time #hoosiers,nonbullying
@BigD757 too bad hes a faggot,bullying
@BigDaddySniper you far asf too nigguh,bullying
@BigLovemusic Bruh that won't happen cuz I can see that big bitch or it before it strikes.,bullying
@BigQuinn_Liam @RJ_Diego11 did you get your volcano yet faggot,bullying
@BigRed2OTS she prolly got some bomb pussy too. Lol I hope haha,bullying
@Big_Jim777 bitch,bullying
@Big_Jim777 happy birthday you dirty little bird &#128520; tear it up &#127867;&#127881;&#127880;,nonbullying
@BigfineHorseee she gone eat that bitch,bullying
@BillPeriman @Po_st I bet he would have gone ape shit and killed them all if they attacked Muslims.,bullying
@BillPeriman @offgridsurvival what the holy fucking hell is going on at the EPA those over-zealous cunts I can't wait for 2016,bullying
@BillPeriman Or as I like to put it 'looking through race colored glasses' @Kel_Antoinette8,nonbullying
@BillPeriman Send all the fucking muzzies home now doj come and get me motherfuckers,bullying
@BillRatchet @VottomanEmpire place pussy on stache let pussy take ride,bullying
@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,bullying
@Billythathird @Dimi_Artale aye were da fawking ginzos of fawking queens and fawking nassau,bullying
@Billythathird @matt_sliwinski copy my tweet again you ginzo,nonbullying
@BirdieB420 lets record a song bitch right nowb,bullying
@BitchImFancy lol so retarded,bullying
@BitchImaStunna @VeshaaCouture lmao bitch shut up,bullying
@BitchMedia what's up my bitches?! Shout out from your momz in Cali! Keep doin what u do. #loveit,bullying
@Bitcheslovestar The only one of Mary's friends I like so you other bitches don't exist &#128514;&#128514;&#128564;&#128564;&#128564;&#128564;&#128164;&#9995;&#9996;&#65039;,bullying
@BitchsLoveMosa do these bitches really love Mosa though #MosaGang http://t.co/0g1J8Bibpl,bullying
@Bitterchick Dare be only one bag dat folks be suckin on what I comes to yo partayyyy! All da ofay be wantin to ride in my eldorato,nonbullying
@Bitterchick Dat means get the fuck out hoe I be thinkin,bullying
@Bitterchick @hellobaphomet Y'all be some crazy white bitches. I wants to lay down wit you bowf.,bullying
"@BittyTang not sure. I think most women have self hate therfore collectively ""women are bitches"" becomes their campaign and men follow",bullying
@BittyTang yes. Why protest about sexism then go right home and beg for a guy to beat your pussy up? Im lost at times,bullying
@BjwalkinRIVERS bro that hoe live,bullying
@BlaccLaBelle_ &#9786;&#65039;nice Avi lil nigger,bullying
@BlackManUSA @chrislhayes well that's some cracker jack secret service work there. jfk anyone?,nonbullying
@BlackManUSA @texasdivepro Historical point: cracker was a term for the Irish settling in the woods of the mid-Atlantic. Hardly offensive.,nonbullying
@BlackManUSA You're killin' me man! &lt;3 Not all conservatives are racists just like not all NBP hate honkies.,bullying
@Black_Angelo25 chill cuz you'll regret it bro your hitting that hoe rn why quit?,bullying
@BlackberryTroll Blah. If people are determined to think of you as a condescending bitch it's their loss.,bullying
@Blackman38Tide Ha bitch I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD,bullying
@Blackman38Tide bandana Orian. They called me trailer trash for wearing my lil country getup &#128545;,nonbullying
@Blackman38Tide lmfao go to bed whitey &#128129;,bullying
@BlakeAnderson21 @jo_clark6 chicken fried steak it is boys mash potatoes gravy green beans corn an ice cream an brownies for after,nonbullying
@BlakeAnderson21 Rollin coal bitches ready to blow ready set GO!,bullying
@BlakeAnderson21 thanks Hun! Haha,nonbullying
@BlakeAnderson21@dalton_ryann @justinmiculka01 bitch got the crew hype an still got her ass beat tonight should have brought him to us,bullying
@BlakkHoodie_562 always eatin good wit my niggah and good lookin on the cd my boy got some heat now i can bump some bangers,bullying
@BlakkHoodie_562 fosho my niggah il be over there just been real busy lately,bullying
@BlakkHoodie_562 yeah that niggah played good lowkey i wanted brazil to win,bullying
@BlizzyLC now that ur tour over come kick it with ya nig in the MIA....,bullying
@BloggerBoxing @Studhardt22 the Jacob and Joshua picks have been very similar. As the love for faggot Ruslan as well #2accountsGate,bullying
@BloggerBoxing @rianscalia pass the Fosters faggot,bullying
@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,bullying
@BloodOfJupiter yeah...bitch!,bullying
@Blue_DreamMN @ExpectoMichaela seriously.. After that first conversation on your status he fb messaged me calling me a fag lololol,bullying
@Boazziz He promised to stand with the muzzies so...,nonbullying
@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket fuck off bitch.,bullying
@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket ur weird racist bitch.,bullying
@BobbyBotsods @MrMooncricket @FuckTheMallcops @UncleUnco no u eat it inbred trailer trash.,bullying
@BobbyRosee Let the hoes tell it man..,bullying
@BodyByMalone Lesson 12 don't pass out at before 12 like a lil bitch,bullying
@Bojieasx slap a taco in thT hoe face &#128514;&#128514;&#128514;&#9996;&#65039;&#128080;&#128074;&#128175;&#128536;&#128584;&#128129;,bullying
@BolandDrummer I have never once in my life been to a 'coffee shop' like Starbucks. I am a hick though.,nonbullying
@Bombfantasyyy @Angela_Mastr lmao angela you look like a damn potato bitch keep talkin,bullying
@Bombfantasyyy pearl jam: yellow Ledbetter&gt;,nonbullying
@BoneSaw00 There's a reason why the Yankees don't want Anderson any longer.,nonbullying
@Boner4Tuna @TCC_Grouchy @Mrs__Met @Vortmax29 @LLMajer @dmb1031 @APLMom @Frogtox @KishkaAndPipiks I've had shots go off where yellow smoke,nonbullying
@Boobah_ awnser the phone pussy,bullying
@Boobah_ they trash,nonbullying
@BookoutBj That's ghetto for super duper! It's the current generations best complement.,nonbullying
@Borgore pull my panties down with ur teeth and write the alphabet w ur tongue on my throbbing pussy,bullying
@BosleyXavier I trip on acid not bitches.,bullying
@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?,bullying
@BossMelle never followed him ignorant monkey,bullying
@Bossman_Carl lmaooo naw nigga imma stay right in your mentions hoe,bullying
@Bossman_Carl nigga I didn't have no change.yall some hoes for Tryna shoot know y'all can't shoot,bullying
@Bossman_Carl wake your ass up hoe,bullying
@BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them,bullying
@BradMich4Real thats shit gon be the death of these hoes...ion like it...,bullying
@BrandNewAndrew lmaooo roosters is hot trash bro u know it,bullying
@Brandi_Nicolee get that degree first bitch,bullying
@BranninWGL I'll say it for you.. Do ya woman want you on the couch in plain sight or outchea with these bitches? Simple.,bullying
@BranninWGL describing New Pussy like a Baltimore Love Thing out this bitch.,bullying
@BraveConWarrior She is a bitch ! This mess is all BO's fault! ALL OF IT!,bullying
@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic,bullying
@BreadTruckkBri I know I was playing that hoe start on the 20 tho,bullying
@BreeOlson @Gingerbeard66 your a nasty nigger whore,bullying
@BreesInDaCut you got some hoes here yet?,bullying
@BreezyPetey at least he went up and wasn't a bitch,bullying
@Brelston I realized it's the one on Link's Awakening too so you killed two birds with one stone. Unless you're getting the Wind Fish too.,nonbullying
@BrenJJGMom @hweldon Well...how about those Yankees this year? What a run. #wtfiswrongwithnebraska,nonbullying
@BrendaGisselCA I'm not Mexican enough for the real beaners yet too Mexican for the Americanized beaners :(,bullying
@BrendaGisselCA that you got hoes damn,bullying
@BrendaGisselCA then what the hell are the perks of being your hoe? This is some bullshit,bullying
@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.,bullying
@Brenddan_ they said some bullshit. Damn niggers,bullying
@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,bullying
@BretVonDehl @com_lowery Can I beat this bitch up?? Seriously....what a bitch,bullying
@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show be safe when going to the next one,bullying
@BretVonDehl YOUNOW is a fucking bitch... Shit load of hate on there when I did my first broadcast,bullying
@Briana_Rashae I'd like to rape the bitch that posted that.,bullying
@BriannaLovesA my trick is I wait for the bird to get close to the pipe and then tap the screen! So you never hit your head.,nonbullying
@Briccone79 @pvvrivierenland ja moest van plisie niet meteen wild gaan denken.Juistja willen wel meer mensen mij vertellen hoe k moet denken,nonbullying
@Brice2254 Fuck you faggot.,bullying
@Briscoefunnyguy @_KaeeJones I gotta see that hoe in person cause I'm sleeping on that hoe for now,bullying
@Briscoefunnyguy @_KaeeJones da fuck that hoe look sad,bullying
@Briscoefunnyguy lol he still a lil bitch,bullying
@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh,bullying
@BroadwayMensa hoes not women like to be the center of attention,bullying
@BrocktonBitch We niggas like fuckin roaches. Let one in and you hot dam infested. You a crazy bitch. I dig yo ass,bullying
@BrodyWayneLyles these kids are pussies. We got a white trash kid &amp; a ThugNasty wanna be up in here &#128514;,bullying
@BrotherDiabeats take your queer ass dubstep out of here,bullying
"@Brutal_Brandy We had a Pacer in the 70s &amp; I 'member loving when ""Hair of the Dog"" came on the quadraphonic stereo so I could say ""bitch""lol",bullying
@BryanBalsamo lmao u ain't a savage &#128514;&#128514; these hoes for everybody,bullying
@BryanStars ATL BVB SWS PTV THE RELAPSE SYMPHONY SET IT OFF FAREWELL MY LOVE MAYDAY PARADE FOB PARAMORE etc,nonbullying
@Buckm00se @Cuauhtli02 we gunna laff at Chava/Rubio beaner supporters in a min,nonbullying
@Buckm00se @DaRealAlexInLA I didn't spoil anything &amp; you should have been watched it nigger nig nog,bullying
@Buckm00se @LEXXX_RUGER @ivanrabago_ the kikes want to charge you &#128175; dollaz for the complete version http://t.co/ZJDLwiAjEo,nonbullying
@Buckm00se @letsargueboxing sand nigger ran over some Kidd,bullying
@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns,bullying
@Buckm00se Joe Cortez is the ultimate faggot that fight proved it,bullying
@Buckm00se all I remember was the fat bitch stealing the KFC bucket &amp; hauling ass,bullying
@Buckm00se all us beaners were pissed like robert when the jew ref stopped it,bullying
@Buckm00se post the bid where you tell that nig to use the jab,bullying
@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,bullying
@Buffalodave1 @BretVonDehl @AlexFoxx13 @brandonkilexxx @JCCharles8 @TylerGloyd Wait wait wait The new one or the EP?Son of a bitch Lucky ;),bullying
@Bullskickass I've decided that #BullsNation are retarded. #love,bullying
@Buster_ESPN Huh.....last 10 games..Tampa 8-2/Balt 7-3/Yanks 6-4...and they lost their best pitcher. Please explain your logic.,nonbullying
@Buster_ESPN Sounds like they are holding back info.......Yankee shill,nonbullying
@Buy_Mortimer @WiigJosh @iowa51005 @TC_live2014 @todd_calfee Hookers are always complimentary-who wants to be with a bitch?,bullying
@Bywatergal @Yankees @EmpireStateBldg That game winning hit in Thursday capped a great career. The guy is a 1st ballot HOF. Or else.,nonbullying
@C0MMONLY @scorpiogans93 @EcliptiK pussies,bullying
@CAntista @Brelston @hEnereyG Eating a roasted potato and smiling till my cheeks are sore; the crow SFX in this Cape Crisis are super-great,nonbullying
@CBSThisMorning @NorahODonnell tx trash you know trouble w ACA is in GOP gov states but like @60 @LaraLogan_News you report lies anyway,nonbullying
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,nonbullying
@CBSThisMorning @charlierose racist @NorahODonnell tx trash enjoy your high along with gop win a substitute for racist @MittRomney loss!,nonbullying
@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful,bullying
@CCobey @tess_stepakoff there isn't a green one either. There's red and yellow in that pic...,nonbullying
@CDNBallJunkie I jus wanna let you know OKC trash IBAKA ain't shit y'all ain't goin nowhere without Harden,bullying
@CDNBallJunkie Spurs bitch that's the team you dont want no problems,bullying
@CHARLESBARRKLEY hey Sir house nigger uncle tom aren't you from grand ole Mississippi I rest my case!,bullying
@CHARLESBARRKLEY you need your ass whipped with a whip Mr house nigger remember u will always b a nigger to them!,bullying
@CHILDISHCUDl @CheefPolo bitch mind your business,bullying
@CMBGaming11 @BeechHD oh you mean like how you started to be a cunt to JP about something that has nothing to do with you?,bullying
@CM_UTLR your man looks terrified in that picture. Do you beat him? Or just treat him like a regular bitch?,bullying
@COK3COKE Now mfa don't wanna spend a dime wit em. Prolly out here yelling money over bitches.,bullying
@CR4ZYF0RU I just really miss you and I know we can drink it off and talk about all of our problems like basic bitches,bullying
@CRYaboutitNIGGA waddup doe Lil nicca,bullying
@CSNChicago Punk ass bitch. #BullsTalk,bullying
@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches,bullying
@CSalazar_04 press start bitch &#128529;,bullying
@C_janacek07 @Nick_504_ a fucking verse from Don trip bitch stop assuming shit,bullying
@CabHotties who ever said this is so dumb. My moms a cop &amp; ill have her track you down for being a lil bitch. Kay bye(:,bullying
@CaelanG15 that nigga was eating that hoe lol,bullying
@Caliqueeen14 you da realest bitch out here Amber,bullying
@CallME__Jetson hoe ass nigga. &#128529;,bullying
@CallMeBuffy sockin bitches in they mouf,bullying
@CallMeDaishaa ghetto ass Pocahontas .,bullying
@CallMeRenee_ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039; my bad bitch im logged in on everybody shit,bullying
@CallMeRenee_ @lilmenifee__ wussup bitch,bullying
@CallMeRenee_ bitch im too mad im finna throw this bitch outside,bullying
@CallMeRenee_ bitch u 1,bullying
@CallMeRenee_ bitch u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;,bullying
@CallMeRenee_ dam bitch,bullying
@CallMeRenee_ wussup bitch,bullying
@CallNeeshCakey &#128514; das new bae my bitch bad or naw lmao,bullying
@CallNeeshCakey &#128514;&#128514; bitches aint shit,bullying
@CallNeeshCakey I can't bitch,bullying
@CallNeeshCakey bitch I know stfu &#128514;,bullying
@CallNeeshCakey no a pop wop &#128514;,nonbullying
@CallNeeshCakey pop wop and drop it tho,nonbullying
@CallNeeshCakey to lay up w my bitch,bullying
@CallNeeshCakey umm bitch hello I was not alive so I clearly DOBT have it,bullying
@CallNeeshCakey we in this bitch finna get crunk eyebrows on double PAPP &#128165;&#128165;,nonbullying
@Cam_Coles You don't know what I know. Name somebody colder you monkey faced immigrant,bullying
@Campos_uli is a fag #hesgay,bullying
@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is such a fake cunt,bullying
@CapitolEVAN That's where I saw the leprechaun. He told me to burn things.,nonbullying
@CapoDaAssHole @Alejandro_Bihhh all hoes singing it too,bullying
@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit,bullying
@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em,bullying
@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning,bullying
@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you,bullying
@CapoDaAssHole @Alejandro_Bihhh me either but if the bitch like put on that Beyonc&#233; nigga ain't gone hesitate,bullying
@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet,bullying
@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap,bullying
@CapoDaAssHole lol that hoe for 5yr old,bullying
@CapoDaAssHole naw where can I see that hoe at,bullying
@CapoDaAssHole wiz had a warrant like a bitch,bullying
@CapoDaAssHole yea he coming back him big rod doing something for that hoe,bullying
@CaptElliott NFN you bitch to much.,bullying
@CarelessOne92 I'm not Hollywood at all my nig u brought me to twitter n bounced,bullying
@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL,bullying
@CarelessOne92 he a real nigga tho that bitch know her place,bullying
@CarelessOne92 weeknd dont save hoes b idunno bout Drake,bullying
@CarelessOne92 weeknd make muzik for the hoes b im tryna meet these women he be talkin bout,bullying
@CarelessOne92 you styl gotta get dem tweets off my nig,bullying
@CarlaFinch What can I say Im a stubborn son of a bitch.,bullying
@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet volg @Partisangirl maar zij komt er vandaan &amp; zal je precies uitleggen hoe of wat.,nonbullying
@Caroline_Poe bitch im 17? And i didnt follow you..? Hahaha,bullying
@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt,bullying
@Carxlito PS3 and case is still in the trash can. idgaf anymore,nonbullying
@Cashhaddict Damn i wanted to buy that bitch that shit was tough,bullying
@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe,bullying
@CassiusClay_232 Lebron brought the bitch down to his knees chill,bullying
@CassiusClay_232 who all in that hoe,bullying
@CatholicMomVA @Neal_Dewing that would cripple our military :),nonbullying
@CayMarieee bitch,bullying
@CayMarieee bitch I'm not coming no more you said your making plans !,bullying
@CayMarieee bitch I'm talm bout at like 10 &#9995;&#128514;,bullying
@CayMarieee bitch ion got no attitude &#9995;&#128514;&#128557; sorry hoe I'm shaded Rn,bullying
@CayMarieee bitch you NOT either bye &#128514;,bullying
@CayMarieee bitch you still subtweets but not replying though &#128514;&#128557;&#128524;,bullying
@CayMarieee oh bitch but you couldn't answer mine when I needed a paccage delivered to your house ! So Fucc off &#128514;&#128557;,bullying
@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? &#9995;&#128514;,bullying
@Cay_JEN I didn't think you knew of a bird that couldn't be tamed. #cajuncharm,nonbullying
"@CdashRay ""she's wearing the same shirt what a bitch.""",bullying
@Ceallaighaine Oh no! Sorry Hun. That sucks. Hope you heal fast. &#128533;#dancerproblems,nonbullying
@CeeNCrumpets self low down black bitch?,bullying
@CeeRoss negro please...I got a job now lmao,bullying
@CeeRoss shoulda told her yeah if I can take you home for pussy lol,bullying
@Cee_Murda94 bitch bye you can't get it,bullying
@Cee_Murda94 bitch is you drunk or nah,bullying
@Cee_Murda94 it's almost ya fucking birthday. So act right niglet,bullying
@Cee_Murda94 no it's yellow fin. It's in edgewater,nonbullying
@Cee_Murda94 yellow fin,nonbullying
@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be a bitch if I said yea but never told you where I stay at?,bullying
@CellNBuu ewwww her nips are DEF more perfect than that,nonbullying
@CenaSux43 You/ @TheBrianMo brought it up first with the allusion that she's a hoe. @chelsea_elisa @RobertBarber64,bullying
@Cesar_K_Garcia text me niggah!,bullying
@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife,bullying
@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl are my nudes trash?,nonbullying
@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,bullying
@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,bullying
@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else,nonbullying
@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.,bullying
@ChandailBailey way to delete your tweets you stanky bitch,bullying
@Channnteeel pussy,bullying
@CharleeRedz13 your gay stfu dumb monkey,bullying
@CharlesBWaffle oh i am.. She cool though might off her a brownie lol,nonbullying
@CharlesBWaffle these bitches need guidance.,bullying
@Charlie4927 @StacyDmomof5 @RevkahJC @cantUCIMblonde @Kacado @PattiSM74 Hi Charlie,nonbullying
@Charlie4927 Hi Charlie have a great day,nonbullying
@CharlieDaniels Come on Charlie! OUR GOVERNMENT WAS JUST TRYING TO PROTECT THE DESERT TORTOISE! Atleast that's what Barack Obama Says...,nonbullying
@CharlseyKay Homeee fag,bullying
@ChaseBasford @justinbieber I was 200 bitch,bullying
@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;,bullying
@ChaseManhatttan you become retarded,bullying
@CheCha__ be gone my nigguh,bullying
@CheckMyLingo_ @Kingpin_Terror ima get this so every time I throw trash away its where it really belongs http://t.co/DRGBekvzun,nonbullying
@Cheesus85 @greyyygoose faaaaggggottttt speaking with the blonde hair and confused you're a hypocrite cuz you're a faggot,bullying
@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:,bullying
@CheyenneDoan cause hes a faggot,bullying
@Chicago_Rose1 Dunleavy my cracker ass honkie,bullying
@ChickenColeman if McCoy wasn't trash that's a TD,nonbullying
@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca,bullying
@Chillindillan71 damn! Thot I blocked ur fuzzy butt. Have now. &#128541; @virleehol @LanceSilver1 @ChristieC733 @WayneBogda @1_conservative9,bullying
@Chink_19 chink thats better then having the rug rats running around yah crib girl enjoy life lol,nonbullying
@Chink_19 shut up chink.!!!,bullying
@Chokmah_Makob ok! you billy goat hair hillbilly,bullying
@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood,bullying
@ChrisHeben you motherfuckin' bullshit slingin' son of a whore! you disgraced all vets with ur crap. now go off to pussy land where u belong,bullying
@ChrisMcDowell_ dont be a bitch.,bullying
@ChrisMcDowell_ pussy ass nigga.,bullying
@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman delete the fake account and and stop being bitches,bullying
@ChrisProbst11 @thorsyndirgard @peta Right in the pussy,bullying
@ChrisSFMori gun sales have skyrocketed. Gun crime has fallen sharply.Any claim to the contrary is using fuzzy math.,nonbullying
@ChrisTrondsen @IM5band #askim5 would you rather drink squirrel pee or Johnny Depp's wig in Charlie and the Chocolate Factory?,nonbullying
@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves you are a pathetic human being. A fucking disgrace.,bullying
@Christian_ESEM you don't know what your talking about retarded faggot,bullying
@ChristyMack fugly bitch john will dump ur ratchet ass,bullying
@ChristyMack ugly flat chested prude ass white bitch,bullying
@Chrisworldpeace So I guess that makes us blacks double niggers huh?,bullying
@Chykalet naw u just retarded kinfolk lol,bullying
@CinWicked Did you just call My Sweet Baboo a ho?!?!,bullying
@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh,bullying
@CiscoAllDay why she a hoe we know about 5 dudes that hit Kim 5 these hoes out here doing that in a week,bullying
"@Citygirl_moe - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out fwm!"" &#128553;&#128557;",bullying
@Claudialena8 she wasn't saying she did but yes me and Kannon have both been in the ghetto and know what it's like so u look dumb.,nonbullying
@ClicquotSuave I would dead upper cut that bitch,bullying
@ClicquotSuave maas mermaid and sharkette pussy,bullying
@ClicquotSuave my nigga what her pussy smell like?,bullying
@ClicquotSuave the new nip dropped today rii?,nonbullying
@ClutchAction c'mon pussy,bullying
@Cody_smith64 true! I miss yall man yall are my brothers. Is mikey starting? And what about the chink? Lmfao,bullying
@CogitoErgoBibo Penske runs the 22 in NASCAR. It's yellow. There's a sponsor already there. #WouldMakeALottaSense,nonbullying
@CokaMoschiach_ his defense is trash and he's been rocked by Jesus Soto Karass and Diego Chaves.,nonbullying
@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.,bullying
@ColeMcDowell2 Waco is ghetto hahaha. Wait til we go pick up nat in Austin tomorrow,nonbullying
@ColeMcDowell2 someone sent this to me months ago bitch,bullying
@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee bitch,bullying
@Coley_Cee @_xpriceless_lmaoo bitch dat was a low blow,bullying
@Coley_Cee bitch dats yo sahara desert ass,bullying
@Coley_Cee bitch do I look white to u,bullying
@Coley_Cee bitch kill yo self,bullying
@Coley_Cee bitch stop takin my shit ooo I hate u u dumb bitch,bullying
@Coley_Cee bitch watch tf out u on moose meat now,bullying
@Coley_Cee didn't I just say I thought u told me to delete them so I deleted them bitch,bullying
@Coley_Cee fuck u u dumb ass bitch hoe,bullying
@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang,bullying
@Coley_Cee my bad bitch ayeee http://t.co/GrHTDie9dz,bullying
@Coley_Cee yes bitch I do realize dat,bullying
@CollinBrennan damn son maybe he didn't know it was ya piece.. He was just Tryna get some pussy breh,bullying
@CommonGayTweets nigga byeeeee lmfao I'll be dammed if a fag stole my girl,bullying
@ComplexMag I didn't know #whitetears were blue and yellow! #lessonoftheday,nonbullying
@ConManBO @LastGreatStandAnd a major league bitch too!,bullying
@ConanOBrien dat is one ugly animal but da monkey is adorable.,nonbullying
@Conrad_MLG im goin now so be expecting to get slept faggot,bullying
@CoolStoryIsaac hahaha thanks bitch!! &#128514;,bullying
@CoolStoryIsaac thisty hoe,bullying
@Coosie11 bitch my phones gonna die in serious I got hot pockets,bullying
@CoreyRoyalty_ *hoes,bullying
@Corey_D_23 damn bro.. ps4 trash lol,bullying
@CoronaDior just found u and fuck is my cock hard! Love your dripping pussy,bullying
@Cotton_Candy9 god wrote em now think again coon,bullying
@Cotton_Candy9 hell Idk who did but that pussy better be golden,bullying
@Cotton_Candy9 lmaoooo aye people person so you know lil Rico got hoes hahaha,bullying
@CountryRedBelle I thought you'd get the hint that we know you're a fake cunt and delete your fake account.,bullying
@CrackerJhak Because you're a fag,bullying
@Crackerboyy these hoes really out here,bullying
"@CreoleBabyBritt @blurbette @thepbg The same guy who thinks he can slang around ""bitch"" without it being offensive apparently.",bullying
@CreoleBabyBritt Don't make me draw you like one of my Franch bitches heffa.,bullying
@Crewz76 I miss Tupac rap offs hillbilly,nonbullying
@Crowe_FaShow cause of the loads of pussy you get right,bullying
@CruzanChoklate look at you with yellow fever.,nonbullying
@Cryystalina cuz people at work are bitches they shit talkers and yeah dude I need a girls night out -___-,bullying
@Cryystalina haha yes niggah but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..,bullying
@CsSalazar15 see bro pussy changes you &#128514;&#128514;&#128557;&#128527;&#128527;,bullying
@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;,bullying
@CsSalazar15 yeah bitch hit me up when you get friend zoned Brody &#128076;&#128175;&#128175;,bullying
@CsSalazar15 yeah right pussy !,bullying
@Cuauhtli02 @elchavaloko @cafebabybull he's a cheating wetback,bullying
@Cuauhtli02 @saucygyro @CoffeeManElliot he called the Kidd a pussy or something,bullying
@Cuauhtli02 I couldn't find the regular one faggot,bullying
@CuckoldCock @molotovhowdy I likes yo page. I wants to make da lovin to a white girl wit a colored man watchin and pullin his weenis,bullying
@Cuff_no_Slut cdfu bitch you fried,bullying
@Cuner Makes you a pussy. Making stupid internet threats. You're a child and if it is about you which idk if it is it's probably deserved.,bullying
@CuteCIothes @xo_shelbie go buy them bitches,bullying
@CuteEmergency shown* a tiny kitten you dumb fucking cunt,bullying
@Cyberobama @eReIevant plot twist he is a faggot,bullying
@D1SinceDay1 my brother. Where tf you been at negro,bullying
@DEVIN__the_DUDE You ready to make this stats test our bitch?!,bullying
@DHSJournal I run CP in our community. Local cops treat ppl like trash for that. I hate it. Makes ppl think its a waste,nonbullying
@DIRECTV why are you showing Yankees game in arizona when you promo Washington huskies game? I bet @dish would want my business,nonbullying
